
# Model: English, Test Dataset: English
+----------------------+---------------------+---------------------+---------------------+
| Word                 | Unigram Probability | Bigram Probability  | Trigram Probability |
|----------------------|---------------------|---------------------|---------------------|
|            Universal | 0.00000000000032261 | 0.00000000467377478 | 0.00107142857142857 |
|          Declaration | 0.00000000000000936 | 0.00000000015365905 | 0.00100000000000000 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|                Human | 0.00000013649823211 | 0.00507616337900241 | 1.00000000000000000 |
|               Rights | 0.00000000622888037 | 0.00006535902324208 | 0.52083333333333337 |
|             Preamble | 0.00000000000809285 | 0.00000084043899988 | 0.00272904483430799 |
|              Whereas | 0.00000000138938395 | 0.00009781953153497 | 0.02192982456140351 |
|          recognition | 0.00000000000000472 | 0.00000000110174600 | 0.00056140350877193 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|             inherent | 0.00000000058905218 | 0.00000062550485301 | 0.00035885167464115 |
|              dignity | 0.00000000005619242 | 0.00000112296872504 | 0.03809523809523809 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|                equal | 0.00000000484522026 | 0.00005390508661874 | 1.00000000000000000 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|          inalienable | 0.00000000000001351 | 0.00000000002260551 | 0.00002959280303030 |
|               rights | 0.00000000622888037 | 0.00006535902324208 | 0.52083333333333337 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|                  all | 0.00007565624832194 | 0.01369863013698630 | 0.25000000000000000 |
|              members | 0.00000000024275615 | 0.00000124724621385 | 0.00187500000000000 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|                human | 0.00000013649823211 | 0.00507616337900241 | 1.00000000000000000 |
|               family | 0.00000000082272178 | 0.00000011952595052 | 0.16666666666666666 |
|                   is | 0.00264310253060434 | 0.08771929824561403 | 1.00000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|           foundation | 0.00000000000009087 | 0.00000000799463748 | 0.00200000000000000 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|              freedom | 0.00000000091915710 | 0.00000348226953288 | 0.01421052631578947 |
|                    , | 0.01104417670682731 | 1.00000000000000000 | 1.00000000000000000 |
|              justice | 0.00000000001302570 | 0.00000608274726063 | 0.00416666666666667 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|                peace | 0.00000026092467419 | 0.00013555543840888 | 0.00925925925925926 |
|                   in | 0.00402211254657183 | 0.21052631578947367 | 1.00000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|                world | 0.00000004394028329 | 0.00007313933530972 | 0.40000000000000002 |
|                    , | 0.01104417670682731 | 1.00000000000000000 | 1.00000000000000000 |
|              Whereas | 0.00000000138938395 | 0.00009781953153497 | 0.02192982456140351 |
|            disregard | 0.00000000000087948 | 0.00000000014110261 | 0.00029239766081871 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|             contempt | 0.00000000001554597 | 0.00000007770394155 | 0.00011446886446886 |
|                  for | 0.00008681967430374 | 0.00594530321046373 | 0.50000000000000000 |
|                human | 0.00000013649823211 | 0.00507616337900241 | 1.00000000000000000 |
|               rights | 0.00000000622888037 | 0.00006535902324208 | 0.52083333333333337 |
|                 have | 0.00000294471449238 | 0.00827087102610494 | 0.50000000000000000 |
|             resulted | 0.00000000003895260 | 0.00000002591360638 | 0.00322234156820623 |
|                   in | 0.00402211254657183 | 0.21052631578947367 | 1.00000000000000000 |
|            barbarous | 0.00000000000012311 | 0.00000000278919016 | 0.00111111111111111 |
|                 acts | 0.00000405377629492 | 0.00027674000276740 | 0.25000000000000000 |
|                which | 0.00000003822484739 | 0.00035647900593283 | 0.12698412698412698 |
|                 have | 0.00000294471449238 | 0.00827087102610494 | 0.50000000000000000 |
|             outraged | 0.00000000001361254 | 0.00000000106197500 | 0.02500000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|           conscience | 0.00000000000005179 | 0.00000000012429880 | 0.00128205128205128 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|              mankind | 0.00000000001908182 | 0.00006919400205422 | 0.00413223140495868 |
|                    , | 0.01104417670682731 | 1.00000000000000000 | 1.00000000000000000 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|               advent | 0.00000000905646404 | 0.00000508917587953 | 0.07142857142857142 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|                    a | 0.07329317269076305 | 1.00000000000000000 | 1.00000000000000000 |
|                world | 0.00000004394028329 | 0.00007313933530972 | 0.40000000000000002 |
|                   in | 0.00402211254657183 | 0.21052631578947367 | 1.00000000000000000 |
|                which | 0.00000003822484739 | 0.00035647900593283 | 0.12698412698412698 |
|                human | 0.00000013649823211 | 0.00507616337900241 | 1.00000000000000000 |
|               beings | 0.00000000339973588 | 0.00000269964587817 | 0.00568181818181818 |
|                shall | 0.00000018593443393 | 0.00008990077202288 | 0.01562500000000000 |
|                enjoy | 0.00000000709141827 | 0.00001401168574591 | 0.08333333333333333 |
|              freedom | 0.00000000091915710 | 0.00000348226953288 | 0.01421052631578947 |
|                   of | 0.00169553716875534 | 0.24137931034482760 | 1.00000000000000000 |
|               speech | 0.00000000874916592 | 0.00000893543456034 | 0.00277777777777778 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|               belief | 0.00000000806450488 | 0.00000176809459165 | 0.00833333333333333 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|              freedom | 0.00000000091915710 | 0.00000348226953288 | 0.01421052631578947 |
|                 from | 0.00000226637704006 | 0.00204005502319834 | 0.08000000000000002 |
|                 fear | 0.00001173917179038 | 0.00023839059858113 | 0.11111111111111110 |
|                  and | 0.00018101348475465 | 0.06551518761167360 | 0.50000000000000000 |
|                 want | 0.00000445523723234 | 0.00268780256868405 | 0.04545454545454546 |
|                  has | 0.00018012688809463 | 0.02067717756526234 | 0.12500000000000000 |
|                 been | 0.00001058696784415 | 0.00387000544219515 | 0.04166666666666666 |
|           proclaimed | 0.00000000000001222 | 0.00000000011184250 | 0.00320000000000000 |
|                   as | 0.00338502604796697 | 0.13698630136986301 | 1.00000000000000000 |
|                  the | 0.00037881360444439 | 0.13722126929674100 | 0.84999999999999998 |
|              highest | 0.00000000069540871 | 0.00000944539682829 | 0.00024801587301587 |
